episode,total_reward,epsilon,buffer_size
1,-213.02,0.995,720
2,-189.26,0.99,1440
3,-1872.39,0.9851,2160
4,-215.38,0.9801,2880
5,-278.42,0.9752,3600
6,-153.47,0.9704,4320
7,-181.99,0.9655,5040
8,-145.1,0.9607,5760
9,-146.35,0.9559,6480
10,-182.82,0.9511,7200
11,-240.84,0.9464,7920
12,-1692.53,0.9416,8640
13,-1920.0,0.9369,9360
14,-195.45,0.9322,10080
15,-173.77,0.9276,10800
16,-1850.0,0.9229,11520
17,-158.58,0.9183,12240
18,-677.72,0.9137,12960
19,-1900.0,0.9092,13680
20,-159.87,0.9046,14400
21,-1881.84,0.9001,15120
22,-1849.99,0.8956,15840
23,-196.86,0.8911,16560
24,-108.93,0.8867,17280
25,-188.75,0.8822,18000
26,-1869.36,0.8778,18720
27,-142.47,0.8734,19440
28,-111.61,0.8691,20160
29,-132.05,0.8647,20880
30,-1910.0,0.8604,21600
31,-1874.0,0.8561,22320
32,-1869.97,0.8518,23040
33,-108.68,0.8475,23760
34,-1664.9,0.8433,24480
35,-154.25,0.8391,25200
36,-1879.74,0.8349,25920
37,-105.63,0.8307,26640
38,-125.39,0.8266,27360
39,-1902.9,0.8224,28080
40,-130.81,0.8183,28800
41,-110.82,0.8142,29520
42,-114.84,0.8102,30240
43,-1850.0,0.8061,30960
44,-192.58,0.8021,31680
45,-1596.84,0.7981,32400
46,-1880.0,0.7941,33120
47,-126.0,0.7901,33840
48,-88.58,0.7862,34560
49,-179.74,0.7822,35280
50,-110.2,0.7783,36000
51,-1940.0,0.7744,36720
52,-91.11,0.7705,37440
53,-1574.62,0.7667,38160
54,-95.94,0.7629,38880
55,-1559.41,0.759,39600
56,-1850.0,0.7553,40320
57,-1926.86,0.7515,41040
58,-1880.0,0.7477,41760
59,-1910.0,0.744,42480
60,-1878.19,0.7403,43200
61,-119.41,0.7366,43920
62,-150.11,0.7329,44640
63,-361.71,0.7292,45360
64,-1835.73,0.7256,46080
65,-399.21,0.7219,46800
66,-1880.0,0.7183,47520
67,-1940.0,0.7147,48240
68,-1980.0,0.7112,48960
69,-1853.69,0.7076,49680
70,-103.36,0.7041,50000
71,-1940.0,0.7005,50000
72,-1861.81,0.697,50000
73,-1869.74,0.6936,50000
74,-1840.0,0.6901,50000
75,-1870.0,0.6866,50000
76,-208.91,0.6832,50000
77,-133.37,0.6798,50000
78,-1870.0,0.6764,50000
79,-1840.0,0.673,50000
80,-1849.08,0.6696,50000
81,-1891.73,0.6663,50000
82,-1880.0,0.663,50000
83,-1880.0,0.6597,50000
84,-78.57,0.6564,50000
85,-1950.0,0.6531,50000
86,-95.51,0.6498,50000
87,-100.94,0.6466,50000
88,-1910.0,0.6433,50000
89,-1072.21,0.6401,50000
90,-1860.0,0.6369,50000
91,-1866.83,0.6337,50000
92,-1869.99,0.6306,50000
93,-1910.0,0.6274,50000
94,-1940.0,0.6243,50000
95,-1940.0,0.6211,50000
96,-1704.76,0.618,50000
97,-1881.61,0.6149,50000
98,-1940.0,0.6119,50000
99,-95.94,0.6088,50000
100,-1870.0,0.6058,50000
101,-1946.53,0.6027,50000
102,-134.11,0.5997,50000
103,-1877.13,0.5967,50000
104,-85.09,0.5937,50000
105,-1910.0,0.5908,50000
106,-1850.0,0.5878,50000
107,-1870.0,0.5849,50000
108,-1914.8,0.582,50000
109,-56.24,0.579,50000
110,-1889.19,0.5762,50000
111,-1940.0,0.5733,50000
112,-1909.72,0.5704,50000
113,-1876.3,0.5676,50000
114,-587.99,0.5647,50000
115,-1960.0,0.5619,50000
116,-1940.0,0.5591,50000
117,-1929.55,0.5563,50000
118,-1860.0,0.5535,50000
119,-1867.25,0.5507,50000
120,-369.06,0.548,50000
121,-1890.0,0.5452,50000
122,-1880.0,0.5425,50000
123,-1859.99,0.5398,50000
124,-1940.0,0.5371,50000
125,-1914.71,0.5344,50000
126,-1889.22,0.5318,50000
127,-95.34,0.5291,50000
128,-1905.32,0.5264,50000
129,-1906.89,0.5238,50000
130,-1854.99,0.5212,50000
131,-1930.0,0.5186,50000
132,-1940.0,0.516,50000
133,-1960.0,0.5134,50000
134,-984.51,0.5108,50000
135,-1940.0,0.5083,50000
136,-1855.0,0.5058,50000
137,-1892.49,0.5032,50000
138,-1919.58,0.5007,50000
139,-1890.0,0.4982,50000
140,-1930.0,0.4957,50000
141,-1870.0,0.4932,50000
142,-1875.44,0.4908,50000
143,-1860.0,0.4883,50000
144,-1940.0,0.4859,50000
145,-1930.0,0.4834,50000
146,-1900.0,0.481,50000
147,-1849.94,0.4786,50000
148,-82.07,0.4762,50000
149,-1356.46,0.4738,50000
150,-1850.0,0.4715,50000
151,-1512.29,0.4691,50000
152,-1960.0,0.4668,50000
153,-1940.0,0.4644,50000
154,-1870.0,0.4621,50000
155,-1990.0,0.4598,50000
156,-1960.0,0.4575,50000
157,-1920.0,0.4552,50000
158,-1900.0,0.4529,50000
159,-1960.0,0.4507,50000
160,-1890.0,0.4484,50000
161,-1917.89,0.4462,50000
162,-1900.0,0.444,50000
163,-1940.0,0.4417,50000
164,-1900.0,0.4395,50000
165,-1926.34,0.4373,50000
166,-172.21,0.4351,50000
167,-1895.49,0.433,50000
168,-1895.52,0.4308,50000
169,-1920.0,0.4286,50000
170,-1890.0,0.4265,50000
171,-1900.0,0.4244,50000
172,-1920.0,0.4223,50000
173,-1910.0,0.4201,50000
174,-1900.0,0.418,50000
175,-1887.14,0.4159,50000
176,-1889.63,0.4139,50000
177,-1859.85,0.4118,50000
178,-1893.67,0.4097,50000
179,-1929.8,0.4077,50000
180,-1900.0,0.4057,50000
181,-1910.0,0.4036,50000
182,-1890.0,0.4016,50000
183,-1890.0,0.3996,50000
184,-1836.89,0.3976,50000
185,-1871.57,0.3956,50000
186,-1980.0,0.3936,50000
187,-1870.0,0.3917,50000
188,-1930.0,0.3897,50000
189,-1870.0,0.3878,50000
190,-1920.0,0.3858,50000
191,-1889.36,0.3839,50000
192,-1930.0,0.382,50000
193,-1880.0,0.3801,50000
194,-1910.0,0.3782,50000
195,-1910.0,0.3763,50000
196,-1866.24,0.3744,50000
197,-1890.0,0.3725,50000
198,-1870.0,0.3707,50000
199,-1910.0,0.3688,50000
200,-1920.0,0.367,50000
201,-1920.0,0.3651,50000
202,-1859.69,0.3633,50000
203,-1880.0,0.3615,50000
204,-1888.97,0.3597,50000
205,-1830.0,0.3579,50000
206,-1887.56,0.3561,50000
207,-1868.27,0.3543,50000
208,-1857.76,0.3525,50000
209,-1886.88,0.3508,50000
210,-1928.41,0.349,50000
211,-1869.71,0.3473,50000
212,-1900.0,0.3455,50000
213,-1859.69,0.3438,50000
214,-1890.0,0.3421,50000
215,-1820.0,0.3404,50000
216,-1920.0,0.3387,50000
217,-1880.0,0.337,50000
218,-1930.0,0.3353,50000
219,-1900.0,0.3336,50000
220,-1830.0,0.332,50000
221,-1990.0,0.3303,50000
222,-1869.15,0.3286,50000
223,-1939.79,0.327,50000
224,-1925.15,0.3254,50000
225,-1886.94,0.3237,50000
226,-1908.91,0.3221,50000
227,-1860.0,0.3205,50000
228,-107.22,0.3189,50000
229,-1920.0,0.3173,50000
230,-1920.0,0.3157,50000
231,-1870.0,0.3141,50000
232,-1.53,0.3126,50000
233,-1980.0,0.311,50000
234,-1860.0,0.3095,50000
235,-88.99,0.3079,50000
236,-1880.0,0.3064,50000
237,-1855.92,0.3048,50000
238,-1940.0,0.3033,50000
239,-1890.0,0.3018,50000
240,-1900.0,0.3003,50000
241,-1890.0,0.2988,50000
242,-111.8,0.2973,50000
243,-1849.98,0.2958,50000
244,-1940.0,0.2943,50000
245,-1940.0,0.2929,50000
246,-1940.0,0.2914,50000
247,-1890.0,0.2899,50000
248,-1970.0,0.2885,50000
249,-1880.0,0.287,50000
250,-1910.0,0.2856,50000
251,-808.35,0.2842,50000
252,-1910.0,0.2828,50000
253,-1896.1,0.2813,50000
254,-1860.0,0.2799,50000
255,-1940.0,0.2785,50000
256,-1920.0,0.2771,50000
257,-1840.0,0.2758,50000
258,-1890.0,0.2744,50000
259,-1889.9,0.273,50000
260,-1870.0,0.2716,50000
261,-1870.0,0.2703,50000
262,-1930.0,0.2689,50000
263,-1890.0,0.2676,50000
264,-11.92,0.2663,50000
265,-1910.0,0.2649,50000
266,-1930.0,0.2636,50000
267,-1950.0,0.2623,50000
268,-80.62,0.261,50000
269,-1960.0,0.2597,50000
270,-1870.0,0.2584,50000
271,-1880.0,0.2571,50000
272,-377.87,0.2558,50000
273,-1939.84,0.2545,50000
274,-1980.0,0.2532,50000
275,-1867.44,0.252,50000
276,-7.13,0.2507,50000
277,-1850.0,0.2495,50000
278,-1860.0,0.2482,50000
279,-1880.0,0.247,50000
280,-1900.0,0.2457,50000
281,-1860.0,0.2445,50000
282,-1940.0,0.2433,50000
283,-1950.0,0.2421,50000
284,-1960.0,0.2409,50000
285,-1920.0,0.2397,50000
286,-1910.0,0.2385,50000
287,-1900.0,0.2373,50000
288,-1900.0,0.2361,50000
289,-1890.0,0.2349,50000
290,-1940.0,0.2337,50000
291,-1930.0,0.2326,50000
292,-2000.0,0.2314,50000
293,-1889.05,0.2302,50000
294,-1890.0,0.2291,50000
295,-520.67,0.2279,50000
296,-1910.0,0.2268,50000
297,-1900.0,0.2257,50000
298,-1870.0,0.2245,50000
299,-1940.0,0.2234,50000
300,-1930.0,0.2223,50000
301,-1850.0,0.2212,50000
302,-1910.0,0.2201,50000
303,-1930.0,0.219,50000
304,-43.01,0.2179,50000
305,-1906.24,0.2168,50000
306,-1880.0,0.2157,50000
307,-1890.0,0.2146,50000
308,-1950.0,0.2136,50000
309,-1937.56,0.2125,50000
