episode,mode,total_reward,avg_waiting_time,max_waiting_time,avg_queue,max_queue,steps
1,fixed,-170.35,3897.2986111111113,7236.0,71.00277777777778,97,720
2,fixed,-170.85,3903.101388888889,7713.0,70.5736111111111,99,720
3,fixed,-194.95,3908.5569444444445,7507.0,70.61527777777778,98,720
4,fixed,-158.88,3884.1041666666665,7397.0,70.32222222222222,97,720
5,fixed,-193.32,3885.5138888888887,7480.0,70.25138888888888,98,720
6,fixed,-149.09,3915.8569444444443,7662.0,70.69027777777778,98,720
7,fixed,-171.96,3918.586111111111,7654.0,70.54722222222222,97,720
8,fixed,-189.49,3904.1541666666667,7651.0,71.33611111111111,98,720
9,fixed,-206.81,3910.0402777777776,7601.0,70.99444444444444,99,720
10,fixed,-187.49,3911.3152777777777,7589.0,70.80416666666666,98,720
11,fixed,-179.09,3903.759722222222,7464.0,70.74861111111112,98,720
12,fixed,-169.62,3909.383333333333,7528.0,71.05,98,720
13,fixed,-194.32,3892.5833333333335,7443.0,70.83888888888889,97,720
14,fixed,-213.35,3894.516666666667,7407.0,71.25972222222222,97,720
15,fixed,-210.72,3910.920833333333,7367.0,70.93055555555556,99,720
16,fixed,-175.79,3895.8069444444445,7538.0,70.5625,97,720
17,fixed,-160.47,3888.473611111111,7306.0,70.87916666666666,97,720
18,fixed,-190.6,3937.1736111111113,7344.0,71.84861111111111,99,720
19,fixed,-176.33,3919.311111111111,7384.0,71.36805555555556,97,720
20,fixed,-248.8,3911.248611111111,7442.0,71.125,98,720
21,fixed,-233.17,3938.261111111111,7294.0,71.54027777777777,98,720
22,fixed,-202.31,3932.195833333333,7636.0,71.01527777777778,98,720
23,fixed,-200.42,3867.3458333333333,7416.0,70.35694444444445,98,720
24,fixed,-161.53,3890.8791666666666,7206.0,70.38333333333334,96,720
25,fixed,-183.49,3875.3319444444446,7131.0,70.61666666666666,97,720
26,fixed,-197.16,3897.3555555555554,7484.0,70.71111111111111,98,720
27,fixed,-177.77,3937.3333333333335,7306.0,71.44027777777778,97,720
28,fixed,-158.74,3928.304166666667,7676.0,70.90972222222223,97,720
29,fixed,-146.34,3921.5833333333335,7502.0,70.80694444444444,98,720
30,fixed,-176.87,3883.3888888888887,7469.0,70.4375,98,720
1,rl,-5.91,44.88333333333333,120.0,15.127777777777778,26,720
2,rl,-7.51,45.265277777777776,81.0,15.008333333333333,24,720
3,rl,-7.12,45.418055555555554,97.0,15.205555555555556,24,720
4,rl,-7.95,45.13611111111111,79.0,15.247222222222222,25,720
5,rl,-6.0,46.43333333333333,88.0,15.175,25,720
6,rl,-6.29,45.40555555555556,82.0,14.969444444444445,25,720
7,rl,-8.8,44.451388888888886,83.0,14.977777777777778,25,720
8,rl,-7.17,45.2375,82.0,15.093055555555555,23,720
9,rl,-7.28,44.141666666666666,91.0,14.959722222222222,24,720
10,rl,-7.61,45.71944444444444,123.0,15.233333333333333,24,720
11,rl,-8.11,43.65833333333333,80.0,14.8375,26,720
12,rl,-6.89,44.61527777777778,84.0,14.98611111111111,24,720
13,rl,-7.38,44.81527777777778,110.0,15.005555555555556,24,720
14,rl,-6.1,44.05972222222222,77.0,14.797222222222222,23,720
15,rl,-7.89,44.62083333333333,108.0,14.790277777777778,24,720
16,rl,-6.89,43.40694444444444,83.0,14.655555555555555,23,720
17,rl,-8.45,44.06666666666667,80.0,14.909722222222221,24,720
18,rl,-7.04,44.643055555555556,80.0,14.893055555555556,26,720
19,rl,-4.82,44.00833333333333,84.0,14.802777777777777,24,720
20,rl,-8.06,45.13611111111111,97.0,15.061111111111112,23,720
21,rl,-6.18,46.018055555555556,112.0,15.379166666666666,25,720
22,rl,-6.06,45.06805555555555,110.0,14.933333333333334,25,720
23,rl,-7.31,44.951388888888886,80.0,15.134722222222223,24,720
24,rl,-7.05,43.92777777777778,80.0,14.731944444444444,26,720
25,rl,-7.82,45.45,84.0,15.154166666666667,24,720
26,rl,-7.62,45.6,84.0,15.21111111111111,23,720
27,rl,-6.27,43.975,115.0,14.870833333333334,26,720
28,rl,-6.12,44.00416666666667,79.0,14.67361111111111,23,720
29,rl,-6.4,45.858333333333334,110.0,15.309722222222222,28,720
30,rl,-7.13,45.47361111111111,108.0,15.17361111111111,26,720
