scenario,mode,episode,seed,total_reward,avg_waiting_time,avg_queue,max_queue,throughput
low,fixed,0,1000,-4.980000000000001,265.93333333333334,9.001388888888888,15.0,1185
low,webster,0,1000,-974.31,6559.675,50.416666666666664,135.0,994
low,rl_global,0,1000,-1.189999999999999,125.50416666666666,6.154166666666667,10.0,1190
low,rl_e2,0,1000,-1.1700000000000008,98.96527777777777,5.227777777777778,12.0,1190
low,fixed,1,1001,-5.610000000000002,265.62361111111113,9.031944444444445,16.0,1184
low,webster,1,1001,-858.24,6547.916666666667,50.09305555555556,143.0,1024
low,rl_global,1,1001,-1.2199999999999978,123.79166666666667,6.093055555555556,10.0,1190
low,rl_e2,1,1001,-1.2100000000000013,99.69166666666666,5.219444444444444,12.0,1190
low,fixed,2,1002,-4.98,268.6625,9.081944444444444,16.0,1185
low,webster,2,1002,-917.2,6253.204166666666,50.106944444444444,139.0,1006
low,rl_global,2,1002,-1.16,122.56805555555556,6.065277777777778,10.0,1190
low,rl_e2,2,1002,-1.2299999999999995,100.5736111111111,5.272222222222222,12.0,1190
low,fixed,3,1003,-5.01,263.1611111111111,8.980555555555556,15.0,1185
low,webster,3,1003,-966.52,6456.180555555556,49.645833333333336,137.0,1004
low,rl_global,3,1003,-1.2099999999999982,124.16527777777777,6.095833333333333,10.0,1189
low,rl_e2,3,1003,-1.1900000000000017,99.68472222222222,5.230555555555555,12.0,1190
low,fixed,4,1004,-4.989999999999999,268.0652777777778,9.047222222222222,16.0,1185
low,webster,4,1004,-961.45,6211.898611111111,49.772222222222226,143.0,1001
low,rl_global,4,1004,-1.189999999999999,123.17361111111111,6.0680555555555555,10.0,1190
low,rl_e2,4,1004,-1.170000000000002,100.5875,5.215277777777778,12.0,1190
low,fixed,5,1005,-4.54,261.6125,8.911111111111111,16.0,1186
low,webster,5,1005,-894.46,6331.809722222222,49.67777777777778,141.0,1017
low,rl_global,5,1005,-1.2099999999999995,124.34722222222223,6.143055555555556,10.0,1190
low,rl_e2,5,1005,-1.2100000000000009,100.93888888888888,5.258333333333334,12.0,1190
low,fixed,6,1006,-5.01,268.39722222222224,9.066666666666666,16.0,1185
low,webster,6,1006,-1017.26,6790.104166666667,50.93333333333333,139.0,994
low,rl_global,6,1006,-1.1999999999999995,125.46805555555555,6.163888888888889,10.0,1189
low,rl_e2,6,1006,-1.169999999999999,99.99583333333334,5.222222222222222,12.0,1190
low,fixed,7,1007,-4.96,268.64166666666665,9.094444444444445,16.0,1185
low,webster,7,1007,-777.69,6113.819444444444,48.518055555555556,140.0,1025
low,rl_global,7,1007,-1.189999999999999,123.68611111111112,6.091666666666667,10.0,1189
low,rl_e2,7,1007,-1.1700000000000004,100.3861111111111,5.240277777777778,12.0,1190
low,fixed,8,1008,-4.42,260.75694444444446,8.8875,16.0,1186
low,webster,8,1008,-868.38,6460.073611111111,49.75555555555555,135.0,1018
low,rl_global,8,1008,-1.2099999999999977,124.19166666666666,6.101388888888889,10.0,1190
low,rl_e2,8,1008,-1.1700000000000017,101.40416666666667,5.302777777777778,12.0,1190
low,fixed,9,1009,-4.39,266.475,9.015277777777778,16.0,1186
low,webster,9,1009,-862.48,6115.095833333334,49.638888888888886,136.0,1017
