episode,total_reward,epsilon,buffer_size,keep_ratio,next_ratio,traffic_N,traffic_S,traffic_E,traffic_W
1,-180.71,0.995,720,0.535,0.465,1070,960,949,1309
2,-192.68,0.99,1440,0.518,0.482,1530,1337,899,1351
3,-183.98,0.9851,2160,0.507,0.493,1058,1072,1781,1076
4,-170.4,0.9801,2880,0.486,0.514,1573,806,1788,1755
5,-186.25,0.9752,3600,0.489,0.511,1761,842,1390,1015
6,-156.44,0.9704,4320,0.494,0.506,1195,1374,1064,1312
7,-194.79,0.9655,5040,0.518,0.482,937,1532,1510,1728
8,-167.02,0.9607,5760,0.472,0.528,1773,1198,1320,1414
9,-157.49,0.9559,6480,0.468,0.532,1599,1055,1486,1500
10,-163.73,0.9511,7200,0.478,0.522,960,1359,1610,1231
11,-165.46,0.9464,7920,0.511,0.489,1150,992,918,1048
12,-148.05,0.9416,8640,0.525,0.475,1692,1093,1109,1318
13,-217.3,0.9369,9360,0.512,0.487,1621,1215,1265,1500
14,-183.03,0.9322,10080,0.503,0.497,1651,1491,1386,1752
15,-140.54,0.9276,10800,0.487,0.512,1600,1555,1228,1356
16,-173.34,0.9229,11520,0.486,0.514,904,955,1683,1382
17,-121.97,0.9183,12240,0.485,0.515,1248,1268,1280,884
18,-148.38,0.9137,12960,0.485,0.515,1097,1552,1615,1286
19,-165.71,0.9092,13680,0.501,0.499,1344,1229,1031,1628
20,-121.02,0.9046,14400,0.489,0.511,1450,1086,946,973
21,-179.43,0.9001,15120,0.504,0.496,1617,839,1374,825
22,-155.61,0.8956,15840,0.49,0.51,1126,972,1104,1260
23,-189.89,0.8911,16560,0.482,0.518,1537,1060,1150,1207
24,-151.19,0.8867,17280,0.506,0.494,895,1663,1364,1609
25,-196.71,0.8822,18000,0.517,0.483,1576,1130,1153,868
26,-181.79,0.8778,18720,0.503,0.497,1259,1768,1726,1316
27,-190.74,0.8734,19440,0.463,0.537,1678,1141,1719,1324
28,-105.22,0.8691,20160,0.522,0.478,1137,853,1068,1232
29,-165.78,0.8647,20880,0.506,0.494,1706,1413,930,1568
30,-115.62,0.8604,21600,0.49,0.51,882,1549,903,899
31,-133.48,0.8561,22320,0.492,0.508,1375,1048,1470,1730
32,-153.64,0.8518,23040,0.511,0.489,815,1056,1366,1085
33,-175.72,0.8475,23760,0.476,0.524,1764,1400,1555,878
34,-119.39,0.8433,24480,0.507,0.493,891,1744,851,1290
35,-147.78,0.8391,25200,0.525,0.475,1510,1534,1372,1293
36,-151.69,0.8349,25920,0.489,0.511,1207,1369,1561,917
37,-130.96,0.8307,26640,0.506,0.494,1446,809,1370,1593
38,-160.04,0.8266,27360,0.475,0.525,896,1003,1028,1326
39,-123.56,0.8224,28080,0.542,0.458,1585,1758,1134,979
40,-134.34,0.8183,28800,0.481,0.519,1706,1420,1659,1359
41,-136.38,0.8142,29520,0.492,0.508,1631,1114,1483,1506
42,-116.52,0.8102,30240,0.49,0.51,1382,1193,1136,900
43,-153.73,0.8061,30960,0.504,0.496,1462,1108,1231,1443
44,-149.81,0.8021,31680,0.506,0.494,1143,818,956,1642
45,-172.01,0.7981,32400,0.5,0.5,1511,1700,920,1440
46,-129.93,0.7941,33120,0.485,0.515,1226,1558,1297,1117
47,-127.42,0.7901,33840,0.461,0.539,1520,936,967,846
48,-110.46,0.7862,34560,0.524,0.476,1123,1556,1722,1169
49,-152.75,0.7822,35280,0.518,0.482,931,1351,954,1253
50,-156.13,0.7783,36000,0.504,0.496,1500,1677,1656,1716
51,-115.37,0.7744,36720,0.514,0.486,1535,1454,1129,816
52,-171.62,0.7705,37440,0.525,0.475,1640,1538,871,1344
53,-102.48,0.7667,38160,0.531,0.469,1330,1466,1709,1433
54,-147.99,0.7629,38880,0.518,0.482,1398,1703,942,1676
55,-142.32,0.759,39600,0.532,0.468,1621,1512,1506,1230
56,-124.73,0.7553,40320,0.483,0.517,1347,1455,1503,1492
57,-152.44,0.7515,41040,0.518,0.482,1174,1008,1268,1546
58,-137.91,0.7477,41760,0.514,0.486,1140,1764,868,1715
59,-114.27,0.744,42480,0.526,0.474,1543,1715,1798,1135
60,-121.37,0.7403,43200,0.508,0.492,1090,1045,1410,952
61,-134.54,0.7366,43920,0.469,0.531,1581,1569,1621,1352
62,-131.0,0.7329,44640,0.486,0.514,1032,1785,1690,1769
63,-133.46,0.7292,45360,0.515,0.485,1709,1159,1408,818
64,-119.62,0.7256,46080,0.524,0.476,1559,1624,1622,833
65,-148.72,0.7219,46800,0.5,0.5,1091,1191,1427,1566
66,-117.2,0.7183,47520,0.487,0.512,1543,933,1365,1133
67,-154.21,0.7147,48240,0.478,0.522,831,1100,1287,1032
68,-152.82,0.7112,48960,0.544,0.456,1483,1551,1100,1704
69,-149.69,0.7076,49680,0.5,0.5,958,1271,1354,1531
70,-135.09,0.7041,50000,0.508,0.492,1329,931,1776,1466
71,-139.57,0.7005,50000,0.515,0.485,1226,1328,1438,1714
72,-110.3,0.697,50000,0.551,0.449,1320,1049,1519,1714
73,-166.88,0.6936,50000,0.49,0.51,845,1090,989,1516
74,-143.19,0.6901,50000,0.515,0.485,1217,1279,1047,1135
75,-129.86,0.6866,50000,0.522,0.478,1050,1441,933,1449
76,-129.11,0.6832,50000,0.508,0.492,1541,1526,870,1722
77,-114.54,0.6798,50000,0.511,0.489,1543,1611,1703,980
78,-136.38,0.6764,50000,0.537,0.463,1243,1478,800,1180
79,-151.27,0.673,50000,0.508,0.492,969,968,1541,1301
80,-112.72,0.6696,50000,0.501,0.499,1588,1533,1220,1792
81,-126.84,0.6663,50000,0.497,0.503,1292,1790,1145,1464
82,-165.17,0.663,50000,0.522,0.478,1449,1232,852,1050
83,-133.47,0.6597,50000,0.521,0.479,1012,1592,1524,1018
84,-175.74,0.6564,50000,0.497,0.503,1537,907,1620,1497
85,-111.95,0.6531,50000,0.522,0.478,1217,855,1754,1734
86,-157.07,0.6498,50000,0.492,0.508,1674,906,1646,1673
87,-105.57,0.6466,50000,0.531,0.469,1506,899,1537,971
88,-136.52,0.6433,50000,0.482,0.518,817,1411,860,1293
89,-87.71,0.6401,50000,0.499,0.501,907,1228,832,1377
90,-124.16,0.6369,50000,0.512,0.487,1329,1700,1657,1653
91,-125.34,0.6337,50000,0.499,0.501,1584,959,913,1469
92,-130.53,0.6306,50000,0.499,0.501,1576,1144,1222,941
93,-110.96,0.6274,50000,0.515,0.485,999,1529,1047,1616
94,-109.13,0.6243,50000,0.547,0.453,1155,1035,1128,1538
95,-162.44,0.6211,50000,0.511,0.489,1610,944,1252,1107
96,-100.79,0.618,50000,0.511,0.489,1184,1059,1053,915
97,-128.84,0.6149,50000,0.561,0.439,1093,1536,1684,1789
98,-109.73,0.6119,50000,0.524,0.476,1596,1764,1486,1700
99,-160.75,0.6088,50000,0.56,0.44,1601,1400,951,1306
100,-168.53,0.6058,50000,0.514,0.486,1536,1220,854,1501
101,-123.96,0.6027,50000,0.539,0.461,893,1518,1375,1756
102,-86.54,0.5997,50000,0.519,0.481,876,1306,1617,808
103,-119.41,0.5967,50000,0.511,0.489,1448,1356,1484,986
104,-126.02,0.5937,50000,0.519,0.481,1195,1396,1472,865
105,-130.33,0.5908,50000,0.542,0.458,1103,1447,1448,1113
106,-123.73,0.5878,50000,0.518,0.482,1723,1631,1670,1386
107,-104.64,0.5849,50000,0.568,0.432,891,1611,809,810
108,-101.31,0.582,50000,0.494,0.506,1355,801,1732,1564
109,-116.26,0.579,50000,0.494,0.506,1378,921,1239,1466
110,-145.56,0.5762,50000,0.504,0.496,1247,1016,1755,1369
111,-128.1,0.5733,50000,0.518,0.482,1664,1508,1650,1152
112,-135.74,0.5704,50000,0.537,0.463,1394,822,1624,1648
113,-174.52,0.5676,50000,0.514,0.486,1718,1199,1423,1325
114,-132.62,0.5647,50000,0.542,0.458,848,1579,1258,900
115,-120.16,0.5619,50000,0.512,0.487,1556,915,990,1217
116,-105.59,0.5591,50000,0.528,0.472,881,906,993,1731
117,-103.29,0.5563,50000,0.487,0.512,1503,832,903,1428
118,-130.77,0.5535,50000,0.54,0.46,1796,1486,1567,1608
119,-113.41,0.5507,50000,0.518,0.482,1678,1545,1642,1365
120,-165.52,0.548,50000,0.517,0.483,1054,1445,1769,1676
121,-109.8,0.5452,50000,0.504,0.496,900,856,1414,1143
122,-160.45,0.5425,50000,0.457,0.543,1539,1646,1335,904
123,-99.44,0.5398,50000,0.504,0.496,1170,857,1008,1223
124,-112.2,0.5371,50000,0.535,0.465,900,1690,1747,1413
125,-116.49,0.5344,50000,0.525,0.475,1689,1631,1107,1599
126,-106.44,0.5318,50000,0.521,0.479,1507,1311,822,1654
127,-99.96,0.5291,50000,0.521,0.479,1646,1333,920,1133
128,-122.83,0.5264,50000,0.547,0.453,1653,1269,1590,1480
129,-94.21,0.5238,50000,0.542,0.458,1452,855,1451,1526
130,-115.67,0.5212,50000,0.514,0.486,1082,843,1422,1740
131,-144.42,0.5186,50000,0.524,0.476,1107,910,1033,952
132,-119.84,0.516,50000,0.55,0.45,1447,1033,969,1587
133,-99.74,0.5134,50000,0.521,0.479,874,936,1782,1486
134,-115.53,0.5108,50000,0.556,0.444,901,1198,1077,1703
135,-132.1,0.5083,50000,0.517,0.483,964,975,1737,1324
136,-131.56,0.5058,50000,0.503,0.497,1384,1030,1174,1355
137,-87.55,0.5032,50000,0.533,0.467,1581,1407,1356,1528
138,-111.77,0.5007,50000,0.537,0.463,1505,1719,812,864
139,-145.92,0.4982,50000,0.521,0.479,1707,1090,1364,1240
140,-141.5,0.4957,50000,0.568,0.432,841,871,1753,917
141,-94.27,0.4932,50000,0.531,0.469,1279,1659,1016,967
142,-127.53,0.4908,50000,0.529,0.471,1451,1293,1237,866
143,-138.29,0.4883,50000,0.55,0.45,1114,1477,974,974
144,-147.01,0.4859,50000,0.512,0.487,1219,1044,1767,1052
145,-127.28,0.4834,50000,0.542,0.458,1315,1721,1639,915
146,-137.32,0.481,50000,0.544,0.456,963,919,1587,1758
147,-112.54,0.4786,50000,0.537,0.463,918,1715,1107,1004
148,-158.64,0.4762,50000,0.504,0.496,1098,1343,1641,1104
149,-117.86,0.4738,50000,0.535,0.465,1503,1365,966,1553
150,-93.32,0.4715,50000,0.528,0.472,1214,1264,1284,1162
151,-80.66,0.4691,50000,0.574,0.426,1789,1581,1248,1197
152,-96.44,0.4668,50000,0.539,0.461,973,1722,1062,1181
153,-104.31,0.4644,50000,0.524,0.476,1415,1614,1746,1784
154,-102.6,0.4621,50000,0.535,0.465,1538,1279,858,906
155,-105.95,0.4598,50000,0.561,0.439,1657,1116,1376,1596
156,-111.2,0.4575,50000,0.526,0.474,1047,1644,1100,1774
157,-155.13,0.4552,50000,0.54,0.46,1248,1371,1426,1245
158,-102.13,0.4529,50000,0.506,0.494,1665,1405,1330,1436
159,-88.96,0.4507,50000,0.574,0.426,1512,1728,1380,881
160,-99.87,0.4484,50000,0.556,0.444,1031,1545,1196,1184
161,-72.85,0.4462,50000,0.55,0.45,1381,1525,881,1199
162,-113.03,0.444,50000,0.508,0.492,1558,1437,1784,1331
163,-92.74,0.4417,50000,0.524,0.476,1746,1328,1528,803
164,-130.39,0.4395,50000,0.564,0.436,1736,1066,1401,1009
165,-136.98,0.4373,50000,0.51,0.49,801,883,1771,1020
166,-89.48,0.4351,50000,0.562,0.438,1298,1413,1001,1005
167,-73.12,0.433,50000,0.606,0.394,832,1133,1592,1107
168,-108.99,0.4308,50000,0.569,0.431,1284,1694,1537,1650
169,-103.66,0.4286,50000,0.557,0.443,1768,1581,1248,1427
170,-99.75,0.4265,50000,0.522,0.478,1087,1094,1478,1205
171,-104.84,0.4244,50000,0.574,0.426,1558,1743,1739,1351
172,-151.01,0.4223,50000,0.535,0.465,1762,990,1365,1369
173,-132.75,0.4201,50000,0.574,0.426,1409,967,925,1663
174,-101.13,0.418,50000,0.539,0.461,1424,1340,1147,840
175,-115.7,0.4159,50000,0.582,0.418,1092,1460,1609,1444
176,-78.15,0.4139,50000,0.537,0.463,1356,1798,1010,1286
177,-151.37,0.4118,50000,0.522,0.478,1742,1627,950,812
178,-84.14,0.4097,50000,0.578,0.422,1526,1755,1343,1531
179,-102.99,0.4077,50000,0.524,0.476,881,1437,1445,1776
180,-120.79,0.4057,50000,0.585,0.415,949,1647,1446,1532
181,-103.87,0.4036,50000,0.597,0.403,1735,936,1343,1783
182,-85.24,0.4016,50000,0.571,0.429,1550,1124,1487,1398
183,-89.79,0.3996,50000,0.562,0.438,954,1494,1751,925
184,-135.24,0.3976,50000,0.557,0.443,1273,1476,1249,1289
185,-83.83,0.3956,50000,0.561,0.439,1479,986,1349,1203
186,-53.5,0.3936,50000,0.576,0.424,1629,815,1276,1376
187,-70.47,0.3917,50000,0.549,0.451,1576,1616,1450,838
188,-119.83,0.3897,50000,0.562,0.438,1781,1113,970,1492
189,-143.6,0.3878,50000,0.543,0.457,1257,1375,1187,1735
190,-103.87,0.3858,50000,0.585,0.415,1271,816,1251,824
191,-99.09,0.3839,50000,0.542,0.458,1081,1185,1785,1144
192,-96.39,0.382,50000,0.585,0.415,1454,1790,1143,926
193,-103.87,0.3801,50000,0.556,0.444,896,1105,1709,1367
194,-104.54,0.3782,50000,0.567,0.433,982,1004,1272,848
195,-106.89,0.3763,50000,0.551,0.449,853,940,937,1380
196,-102.47,0.3744,50000,0.608,0.392,1671,1450,868,1310
197,-103.37,0.3725,50000,0.544,0.456,1619,1777,1358,1567
198,-72.73,0.3707,50000,0.525,0.475,825,1359,1059,1727
199,-124.1,0.3688,50000,0.575,0.425,1121,896,1519,1502
200,-103.69,0.367,50000,0.574,0.426,1158,1741,1287,1445
201,-86.48,0.3651,50000,0.6,0.4,1138,1184,1035,1032
202,-58.22,0.3633,50000,0.596,0.404,1181,807,1780,815
203,-115.15,0.3615,50000,0.599,0.401,1059,1342,1530,1453
204,-160.7,0.3597,50000,0.583,0.417,1312,1412,1107,1727
205,-124.33,0.3579,50000,0.572,0.428,849,1558,1664,1779
206,-100.99,0.3561,50000,0.583,0.417,1388,1146,1764,1072
207,-85.91,0.3543,50000,0.614,0.386,1196,978,1578,1104
208,-85.63,0.3525,50000,0.603,0.397,1199,1606,1718,1222
209,-70.53,0.3508,50000,0.585,0.415,839,1543,1097,921
210,-112.29,0.349,50000,0.585,0.415,1475,1065,1554,855
211,-83.73,0.3473,50000,0.544,0.456,1489,1714,1118,1324
212,-126.19,0.3455,50000,0.574,0.426,1305,875,1250,1564
213,-116.02,0.3438,50000,0.583,0.417,1704,1773,1194,1202
214,-109.56,0.3421,50000,0.619,0.381,1455,1553,1635,828
215,-113.77,0.3404,50000,0.576,0.424,1439,1679,1776,1334
216,-103.81,0.3387,50000,0.556,0.444,1075,1442,831,1743
217,-113.96,0.337,50000,0.574,0.426,1455,1580,1055,1459
218,-82.84,0.3353,50000,0.576,0.424,967,1217,1680,1423
219,-86.22,0.3336,50000,0.561,0.439,1258,1109,1578,1393
220,-96.07,0.332,50000,0.571,0.429,1172,1321,1203,988
221,-101.59,0.3303,50000,0.518,0.482,837,1387,1068,852
222,-98.66,0.3286,50000,0.524,0.476,1371,994,1772,1519
223,-84.0,0.327,50000,0.556,0.444,1691,1111,1047,1384
224,-84.62,0.3254,50000,0.582,0.418,993,1641,1010,803
225,-111.61,0.3237,50000,0.589,0.411,1302,1364,1708,1787
226,-96.96,0.3221,50000,0.535,0.465,1032,1324,1291,990
227,-117.28,0.3205,50000,0.593,0.407,1130,1388,1039,1533
228,-115.46,0.3189,50000,0.528,0.472,954,1496,1726,1471
229,-117.67,0.3173,50000,0.579,0.421,910,1154,1604,946
230,-99.26,0.3157,50000,0.535,0.465,1009,1323,1180,1767
231,-96.49,0.3141,50000,0.518,0.482,939,1694,1751,988
232,-100.26,0.3126,50000,0.549,0.451,967,1479,1723,1592
233,-100.45,0.311,50000,0.597,0.403,1758,1614,1602,1547
234,-119.63,0.3095,50000,0.575,0.425,1539,1478,1762,1272
235,-106.7,0.3079,50000,0.547,0.453,1658,1232,1519,905
236,-79.81,0.3064,50000,0.582,0.418,1011,1506,1661,1092
237,-125.02,0.3048,50000,0.508,0.492,1341,1268,1291,923
238,-111.04,0.3033,50000,0.574,0.426,1260,1594,1549,1455
239,-110.04,0.3018,50000,0.553,0.447,1630,1631,1685,1538
240,-80.77,0.3003,50000,0.521,0.479,1235,881,1406,1321
241,-148.09,0.2988,50000,0.528,0.472,1675,1257,1695,1164
242,-119.0,0.2973,50000,0.522,0.478,1038,1189,1721,1449
243,-101.93,0.2958,50000,0.571,0.429,1611,1798,1331,1712
244,-87.37,0.2943,50000,0.482,0.518,814,951,1108,833
245,-122.51,0.2929,50000,0.533,0.467,1209,952,1065,1080
246,-111.38,0.2914,50000,0.537,0.463,1113,1772,1635,989
247,-99.48,0.2899,50000,0.458,0.542,1481,857,1155,1104
248,-126.59,0.2885,50000,0.483,0.517,983,1064,1427,1705
249,-93.08,0.287,50000,0.55,0.45,1404,1621,937,935
250,-88.41,0.2856,50000,0.557,0.443,970,1099,1354,1660
251,-82.81,0.2842,50000,0.528,0.472,1537,1144,1577,1476
252,-138.94,0.2828,50000,0.5,0.5,1358,1287,1029,1706
253,-98.74,0.2813,50000,0.522,0.478,1555,1452,1392,1297
254,-121.19,0.2799,50000,0.528,0.472,1764,1029,1509,1507
255,-100.81,0.2785,50000,0.562,0.438,1540,1548,1009,1067
256,-81.21,0.2771,50000,0.528,0.472,969,1462,884,1120
257,-112.13,0.2758,50000,0.547,0.453,1431,1510,1701,1106
258,-82.7,0.2744,50000,0.537,0.463,1096,1459,1004,1387
259,-92.64,0.273,50000,0.55,0.45,970,1248,1619,1196
260,-90.92,0.2716,50000,0.525,0.475,1337,1407,868,1528
261,-105.43,0.2703,50000,0.562,0.438,1174,1128,926,1173
262,-116.43,0.2689,50000,0.518,0.482,957,918,1124,1569
263,-97.12,0.2676,50000,0.531,0.469,879,938,1374,1410
264,-79.27,0.2663,50000,0.558,0.442,1600,1079,1341,928
265,-121.01,0.2649,50000,0.529,0.471,1428,1771,1378,1121
266,-79.03,0.2636,50000,0.547,0.453,1033,1066,1575,1037
267,-89.52,0.2623,50000,0.531,0.469,1319,919,1554,1095
268,-102.61,0.261,50000,0.568,0.432,1499,1257,959,1142
269,-76.23,0.2597,50000,0.582,0.418,1304,1627,1162,1166
270,-100.19,0.2584,50000,0.549,0.451,993,1014,1069,1730
271,-84.68,0.2571,50000,0.542,0.458,931,1305,1554,1764
272,-90.56,0.2558,50000,0.512,0.487,1108,1606,1001,974
273,-90.95,0.2545,50000,0.579,0.421,1628,977,1317,842
274,-78.54,0.2532,50000,0.574,0.426,1488,1745,1221,1068
275,-78.17,0.252,50000,0.537,0.463,1295,1116,965,863
276,-112.66,0.2507,50000,0.565,0.435,994,1778,1559,1002
277,-83.15,0.2495,50000,0.536,0.464,1663,1108,1795,905
278,-91.6,0.2482,50000,0.554,0.446,1318,813,1184,1278
279,-88.25,0.247,50000,0.526,0.474,1334,1017,1448,1319
280,-111.84,0.2457,50000,0.561,0.439,1248,942,1713,1667
281,-75.14,0.2445,50000,0.592,0.408,1289,835,1790,1480
282,-117.93,0.2433,50000,0.597,0.403,1220,1681,1356,1332
283,-99.9,0.2421,50000,0.542,0.458,1068,1367,1002,1076
284,-87.06,0.2409,50000,0.556,0.444,1321,1519,920,1367
